,field_of_study,gender,high_keyboard_experience,high_teleop_experience,interface,is_adapted,keyboard_experience,mechanism,method,model,number_of_refinements,number_of_updates,participant_number,refinement_time,technical,teleop_experience,training_time,workload
85,Technische Bedrijfskunde,True,False,False,keyboard,True,0,online,OnKey,2,2,1,8,142.39752197265625,False,0,288.48521733283997,19.0
86,Technische Bedrijfskunde,True,False,False,keyboard,True,0,online,OnKey,3,1,1,8,51.60721206665039,False,0,288.48521733283997,19.0
87,Technische Bedrijfskunde,True,False,False,omni,True,0,offline,OffOm,1,3,2,8,385.71228790283203,False,0,516.647412776947,53.0
88,Technische Bedrijfskunde,True,False,False,omni,True,0,offline,OffOm,2,5,3,8,1124.6695938110352,False,0,516.647412776947,53.0
89,Technische Bedrijfskunde,True,False,False,omni,True,0,offline,OffOm,3,2,1,8,301.88616943359375,False,0,516.647412776947,53.0
90,Technische Bedrijfskunde,True,False,False,omni,True,0,online,OnOm,1,4,3,8,167.0739688873291,False,0,250.10369682312012,83.0
91,Technische Bedrijfskunde,True,False,False,omni,True,0,online,OnOm,2,22,8,8,1022.8045196533203,False,0,250.10369682312012,83.0
92,Technische Bedrijfskunde,True,False,False,omni,True,0,online,OnOm,3,3,3,8,109.17341232299805,False,0,250.10369682312012,83.0
93,Technische Bedrijfskunde,True,False,False,keyboard,True,0,offline,OffKey,1,3,3,8,647.0172729492188,False,0,1435.7846496105194,67.0
94,Technische Bedrijfskunde,True,False,False,keyboard,True,0,offline,OffKey,2,1,1,8,308.1136169433594,False,0,1435.7846496105194,67.0
95,Technische Bedrijfskunde,True,False,False,keyboard,True,0,offline,OffKey,3,9,4,8,2242.995765686035,False,0,1435.7846496105194,67.0
96,BME,True,True,False,keyboard,True,5,online,OnKey,1,2,2,9,73.58794021606445,True,0,123.71965503692627,45.0
97,BME,True,True,False,keyboard,True,5,online,OnKey,2,3,3,9,112.01277160644531,True,0,123.71965503692627,45.0
98,BME,True,True,False,keyboard,True,5,online,OnKey,3,6,3,9,274.31627655029297,True,0,123.71965503692627,45.0
99,BME,True,True,False,omni,True,5,offline,OffOm,1,3,1,9,456.5050048828125,True,0,262.9830586910248,49.0
100,BME,True,True,False,omni,True,5,offline,OffOm,2,1,1,9,154.78732299804688,True,0,262.9830586910248,49.0
101,BME,True,True,False,omni,True,5,offline,OffOm,3,3,2,9,726.8003540039062,True,0,262.9830586910248,49.0
102,BME,True,True,False,omni,True,5,online,OnOm,1,3,3,9,81.12626838684082,True,0,116.89704656600952,19.0
103,BME,True,True,False,omni,True,5,online,OnOm,2,6,4,9,223.44801712036133,True,0,116.89704656600952,19.0
104,BME,True,True,False,omni,True,5,online,OnOm,3,2,2,9,51.96689987182617,True,0,116.89704656600952,19.0
105,BME,True,True,False,keyboard,True,5,offline,OffKey,1,3,2,9,232.462158203125,True,0,513.0160956382751,52.0
106,BME,True,True,False,keyboard,True,5,offline,OffKey,2,6,5,9,668.9037170410156,True,0,513.0160956382751,52.0
107,BME,True,True,False,keyboard,True,5,offline,OffKey,3,5,2,9,742.18212890625,True,0,513.0160956382751,52.0
108,DCSC,True,True,False,keyboard,True,5,online,OnKey,1,7,5,10,265.3041458129883,True,1,192.21522426605225,40.0
109,DCSC,True,True,False,keyboard,True,5,online,OnKey,2,2,2,10,60.293128967285156,True,1,192.21522426605225,40.0
110,DCSC,True,True,False,keyboard,True,5,online,OnKey,3,2,2,10,63.471893310546875,True,1,192.21522426605225,40.0
111,DCSC,True,True,False,omni,False,5,offline,OffOm,1,0,0,10,,True,1,,74.0
112,DCSC,True,True,False,omni,False,5,offline,OffOm,2,0,0,10,,True,1,,74.0
113,DCSC,True,True,False,omni,False,5,offline,OffOm,3,0,0,10,,True,1,,74.0
114,DCSC,True,True,False,omni,False,5,online,OnOm,1,19,8,10,,True,1,299.9957973957062,51.0
115,DCSC,True,True,False,omni,False,5,online,OnOm,2,11,8,10,,True,1,299.9957973957062,51.0
116,DCSC,True,True,False,omni,True,5,online,OnOm,3,8,6,10,225.9019069671631,True,1,299.9957973957062,51.0
117,DCSC,True,True,False,keyboard,True,5,offline,OffKey,1,2,2,10,207.2344970703125,True,1,385.02207469940186,21.0
118,DCSC,True,True,False,keyboard,True,5,offline,OffKey,2,2,2,10,194.25662231445312,True,1,385.02207469940186,21.0
119,DCSC,True,True,False,keyboard,True,5,offline,OffKey,3,3,2,10,257.22570037841797,True,1,385.02207469940186,21.0
120,BMD,True,True,True,keyboard,True,5,online,OnKey,1,3,3,11,87.96671104431152,True,5,345.86517238616943,48.0
121,BMD,True,True,True,keyboard,True,5,online,OnKey,2,4,4,11,120.46086120605469,True,5,345.86517238616943,48.0
122,BMD,True,True,True,keyboard,True,5,online,OnKey,3,6,6,11,189.55500030517578,True,5,345.86517238616943,48.0
123,BMD,True,True,True,omni,False,5,offline,OffOm,1,18,8,11,,True,5,658.2085316181183,59.0
124,BMD,True,True,True,omni,False,5,offline,OffOm,2,8,8,11,,True,5,658.2085316181183,59.0
125,BMD,True,True,True,omni,True,5,offline,OffOm,3,9,7,11,1062.6739654541016,True,5,658.2085316181183,59.0
126,BMD,True,True,True,omni,True,5,online,OnOm,1,5,3,11,191.92034530639648,True,5,100.0661780834198,45.0
127,BMD,True,True,True,omni,True,5,online,OnOm,2,7,3,11,271.57341957092285,True,5,100.0661780834198,45.0
128,BMD,True,True,True,omni,True,5,online,OnOm,3,3,2,11,93.76238822937012,True,5,100.0661780834198,45.0
129,BMD,True,True,True,keyboard,True,5,offline,OffKey,1,2,2,11,339.61669921875,True,5,422.7862093448639,20.0
130,BMD,True,True,True,keyboard,True,5,offline,OffKey,2,2,2,11,355.23284912109375,True,5,422.7862093448639,20.0
131,BMD,True,True,True,keyboard,True,5,offline,OffKey,3,1,1,11,115.5922622680664,True,5,422.7862093448639,20.0
132,BMD-HI,True,True,True,keyboard,True,4,online,OnKey,1,2,2,12,64.86330223083496,True,4,162.03444170951843,56.0
